Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
accesorio,"incidental,accessory",NIH,NIH,,,"Health,Health",Tobacco,," means any product that is intended or reasonably expected to be used with or for the human consumption of a tobacco product; does not contain tobacco and is not made or derived from tobacco; and meets either of the following:
Is not intended or reasonably expected to affect or alter the performance, composition, constituents, or characteristics of a tobacco product; or
Is intended or reasonably expected to affect or maintain the performance, composition, constituents, or characteristics of a tobacco product but
Solely controls moisture and/or temperature of a stored tobacco product; or
Solely provides an external heat source to initiate but not maintain combustion of a tobacco product (parts 1100, 1140, 1143 (21 CFR parts 1100, 1140, 1143)).",,,,,,,,,,,,,,,
accidental,incidental,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
accidente cerebrovascular,stroke,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
acción civil,civil action,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
acción ejecutoria,enforcement action,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
acción penal,criminal action,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Acción progresiva,Progressive Action,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
acciones correctivas,corrective actions,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
acefalia,acephaly,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aceite en aerosol para cocinar,Nonstick cooking spray,USDA-FNS,USDA-FNS,,,Health,,,,,Industry-https://merkdoo.com/pricesmart/pricesmart-aceite-en-aerosol-para-cocinar-antiadherente-y-versatil-2-paquetes-400-gr-36.html,,,,,,,,,,,,,
aceptar,agree,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
acercamiento,approach,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
acetaldehído,acetaldehyde,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
acetoclor,acetochlor,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aciclovir,acyclovir,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
acidez gástrica,heartburn,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ácido desoxirribonucleico,deoxyribonucleic acid,NIA,"FDA, NIA",ADN,"DNA, ADN",Health,,,"El ADN, o ácido desoxirribonucleico, es el material que contiene la información hereditaria en los humanos y casi todos los demás organismos.",,,,,,,,,,,,,,,https://medlineplus.gov/spanish/genetica/entender/basica/adn/
ácido etilendiaminotetraacético,ethylenediaminetetraacetic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido haloacético,haloacetic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido malatión dicarboxílico,malathion dicarboxylic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido nalidíxico,nalidixic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido perfluorodecanoico,perfluorodecanoic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido perfluorododecanoico,perfluorododecanoic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido perfluoroheptanoico,perfluoroheptanoic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido perfluorononanoico,perfluorononanoic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido perfluorooctanoico,perfluorooctanoic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido perfluoroundecanoico,perfluoroundecanoic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ácido sulfhídrico,hydrosulfuric acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"ácido trans-3-(2,2-diclorovinil)-2,2-dimetilciclopropano carboxílico",,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
acomodaciones razonables,Reasonable Accomodations,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
Acomodos Razonables,Reasonable Accommodations ,HRSA,HRSA,,RA,,,,,,,,,,,,,,,,,,,
acompañante,concomitant,"NIH,NIA","NIH, NIA",,CONOPS,Health,,,,,,,,,,,,,,,,,,
acontecimiento,event,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
acorde,consistent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
acoso,bullying,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
acrania,acrania,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Acreditación de Auditores Externos,Accreditation of Third-Party Auditors,FDA,FDA,,,Health,Food Industry,,,,acreditación de terceros ,,,,,,,,,,,,,
Acreditación y otorgamiento de privilegios,Credentialing and Privileging ,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
acrilamida,acrylamide,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
acromion,acromium process,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
actitud,approach,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
actividad,"event,function",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
actividad delictiva,criminal activity,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
Actividad Física y Obesidad,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
Actividades cotidianas,activities of daily living,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
Actividades de la vida diaria,activities of daily living,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
acto,event,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
actualmente,currently,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
actuarial,actuarial,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Acuerdo cooperativo,Cooperative agreement ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Acuerdo de Cooperación para un Centro de Investigación en Salud con Enfoque en Telemedicina,Telehealth Focused Rural Health Research Center Cooperative Agreement ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
acuerdo/ contrato,agreement,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Acuerdos cooperativos,Cooperative Agreements,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Acuerdos de referido,Referral Arrangements,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Acuerdos formales,Formal Arrangements,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
acuicultor,aquaculture farmer,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
acuicultura,aquaculture,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
acuífera,water bearing/aquiferous,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
acumulado,cummulative,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
acumular,collect,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
acupresión,accupressure,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
adecuado,appropriate,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
adecuado para su uso,fit-for-purpose,FDA,FDA,,,Health,Drug Development,,"A conclusion that the level of validation associated with a medical product development tool is sufficient to support its context of use. (Source: BEST (Biomarkers, Endpoints and Other Tools) Resource)",,,,,,,,,,,,,,,
además,additionally,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
adenocarcinoma in situ,adenocarcinoma in situ,CDC,CDC,,,Health,,,,The term in situ should be in italics.,,,,,,,,,,,,,,
adenovirus,adenovirus,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aditivo químico,chemical additive,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
aditivos para alimentos,food additives,FDA,FDA,,,Health,Veterinarian,,"vitamins, minerals, food colorings, and other ingredients that are added to animal food. These ingredients are added for different reasons, such as to improve the food’s nutrition and taste, or helping a food stay fresh longer.",,,,,,,,,,,,,,,
Adjudicación federal,Federal Award,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Adjudicatario (beneficiario de la adjudicación),Awardee,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
adjunto,associate,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
administración,dosage,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
Administración de Alimentos y Medicamentos,Food and Drug Adminstration,FDA,FDA,,FDA,Health,Office Names,,,,Never use drogas in Spanish,,,,,,,,,,,,,
administración de oxígeno,oxygen supplementation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Administración de Recursos y Servicios de Salud,Health Resources and Services Administration  ,HRSA,HRSA,,HRSA,,,,,,,,,,,,,,,,,,,
Administración de riesgos,Risk Management,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
administrar,deliver,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ADN de control,control DNA,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aducto del antepié,forefoot adduction,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
adulterado,adulterated,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
adverso,deleterious,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aerosol,aerosol,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
aerosol para el cabello,hair spray,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
afección autosómica dominante,autosomal dominant condition,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
afecciones pos-COVID,post-COVID conditions,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
afectación,"impairment,involvement",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
afiche,Poster,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
afiche o póster,Poster,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
afirmaciones,claims,FDA,FDA,,,Health,Food Industry,,,,in food context,,,,,,,,,,,,,
afirmaciones calificadas sobre la salud,qualified health claims,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
afirmaciones sobre la salud,health claims,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
aflicción,distress,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
afortunadamente,fortunately,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
afroamericano,African American,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
agar RPMI,RPMI agar,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
agar sangre,blood agar,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
agarre de pinza,Pincer grasp,USDA-FNS,USDA-FNS,,,Health,,,,,FNS Feeding Infants: https://fns-prod.azureedge.net/sites/default/files/resource-files/FI_Ch6SP.pdf,,,,,,,,,,,,,
agencia estatal,State agency,USDA-FNS,USDA-FNS,,,Health,,,,,USDA SNAP Glossary,,,,,,,,,,,,,
Agencia pública,Public Agency,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
agencias gubernamentales,government agencies,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
Agenda Nacional de Investigación Ocupacional (NORA),National Occupational Research Agenda,CDC,CDC,,NORA,Health,,,,,,,,,,,,,,,,,,
agente infeccioso,infectious agent,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
agitación,Agitation,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
agonista opioide,opioid agonist,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
agresión,aggression,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
agricultor,farmer,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Agricultores Apoyados por la Comunidad,Community Supported Agriculture (CSA),USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
agua de proceso,process water,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
agua de riego,irrigation water,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
agua de riego previamente utilizada*,spent irrigation water,FDA,FDA,,,Health,Food Industry,,,,*Codex Term,,,,,,,,,,,,,
agua de uso agrícola,agricultural water,FDA,FDA,,,Health,Food Industry,,,,agua para cultivos; agua aplicada durante el cultivo de productos agricolas frescos,,,,,,,,,,,,,
agua de uso en la poscosecha,Postharvest water,FDA,FDA,,,Health,Food Industry,,,,(agua utilizada durante y despues de la cosecha),,,,,,,,,,,,,
agua de uso en la precosecha,Preharvest Water,FDA,FDA,,,Health,Food Industry,,,,(agua utilizada antes de la cosecha),,,,,,,,,,,,,
agua para beber,drinking water,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
agua potable,drinking water,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
agua residual / aguas residuales,waste water,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
"agua, saneamiento e higiene","""Water, Sanitation and Hygiene """,CDC,CDC,,WASH,Health,,,,,,,,,,,,,,,,,,
aguas residuales,sewage,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
agujero oval,foramen ovale,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
agujero oval persistente,Patent Foramen Ovale,CDC,CDC,,PFO,Health,,,,,,,,,,,,,,,,,,
ahogo,choking,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
aislado,isolated,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aislador aséptico de contención,compounding aseptic containment isolator,CDC,CDC,,,Health,,,,,This is a test.,,,,,,,,,,,,,
aislamiento,isolation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ajustar,match,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ajuste de dosis,titration,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ajuste posológico,titration,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
al azar,"ramdomly,random",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
al microscopio,under the microscope,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
alaciado,hair straightening,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
alanina-aminotransferasa,alanine aminotransferase,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alanina-aminotransferasa,alanine-aminotransaminase,NIH,NIH,ALT,ALT,Health,,,,,,,,,,,,,,,,,,
alarmante,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
alas nasales,nasal alae,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"Albaricoques, enlatados","""Apricots, canned""",USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
albendazol,albendazole,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alcachofa,artichoke,FDA,FDA,,,Health,Food Names,,,,,,,,,,,,,,,,,
alcance,extent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Alcance del proyecto,Scope of Project,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
alcohol por volumen,alcohol by volume,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aldrina,aldrin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aleatorio,random,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aleatorización,randomization,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aleatorización por grupos,cluster ramdomization,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aleatorización/asignación aleatoria,randomization/random assignment,FDA,FDA,,,Health,Drug Development,,"Éste es el proceso por el cual los investigadores asignan de manera uniforme a unos participantes del estudio en un grupo que recibe el tratamiento experimental bajo estudio y a otros en uno que recibe el tratamiento convencional o ninguno en lo absoluto. Los participantes son asignados a un grupo al azar, y no por selección. Usted tiene las mismas posibilidades de ser asignado a cualquiera de los grupos de prueba.",,,,,,,,,,,,,,,
aleatorizado,randomized,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
alérgeno,allergen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alérgenos encubiertos o no declarados,undeclared allergens,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
alergia conocida,known allergy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alerta de salud,health alert,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alerta de salud global,global health alert,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alerta de salud para viajeros,travel health alert,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alerta sobre productos de tabaco sin humo/etiquetas de alerta sobre productos de tabaco sin humo,smokeless tobacco product warning labels,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
aleteo nasal,nasal flaring,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alfa-1-glucoproteína ácida,alpha-1-acid glycoprotein,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alfa-sinucleína,Alpha-synuclein,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
alfabetización,literacy,FDA,FDA,,,Health,Drug Development,,"A person's ability to read, write, speak, and compute and solve problems at levels necessary to: (a) function on the job and in society; (b) achieve one's goals; and (c) develop one's knowledge and potential. (Source: U.S. Department of Health and Human Services Quick Guide to Health Literacy)",,,,,,,,,,,,,,,
Alfabetización de salud,Health literacy ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
alfabetización en salud,Health Literacy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alfavirus,alphavirus,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
algodoncillo,thrush,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alianza,partnership,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Alianza Nacional contra los Coágulos Sanguíneos,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
Alianza para la Innovación en Salud Materna,Alliance for Innovation on Maternal Health ,HRSA,HRSA,,AIM,,,,,,,,,,,,,,,,,,,
Alianza para la Inocuidad de los Productos Agrícolas Frescos,Produce Safety Alliance (PSA),FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Alianza para la Inocuidad de productos agrícolas frescos y mínimamente procesados,Produce Safety Partnership (PSP),FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
alimentación con biberón controlada,Paced Bottle Feeding ,USDA-FNS,USDA-FNS,,,Health,,,,,Training materials: https://www.lactationtraining.com/resources/educational-materials/handouts-parents/handouts-spanish/paced-bottle-feeding-spanish,,,,,,,,,,,,,
alimentario,alimentary,FDA,FDA,,,Health,Food Industry,,,,Perteneciente o relativo a la alimentación. Industria alimentaria / cadena alimentaria,,,,,,,,,,,,,
alimenticio,nutricious,FDA,FDA,,,Health,Food Industry,,,,Que alimenta o tiene la propiedad de alimentar.,,,,,,,,,,,,,
Alimento solo para uso en investigación o evaluación,food for research or evaluation use,FDA,FDA,,,Health,Food Industry,,,,label,,,,,,,,,,,,,
alimentos,food,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
alimentos acreditables,Creditable foods,USDA-FNS,USDA-FNS,,,Health,,,,,https://fns-prod.azureedge.net/sites/default/files/resource-files/FI_AppendixFSP.pdf,,,,,,,,,,,,,
alimentos de alto riesgo,high-risk foods,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
alimentos de mesa,Table foods,USDA-FNS,USDA-FNS,,,Health,,,,,Referring to the any foods that older children and adults eat. Based on formative research for Mealtime with toddlers (not published).,,,,,,,,,,,,,
alimentos para animales,animal food,FDA,FDA,,,Health,Veterinarian,,"food for animals, including pet food and treats, and feed for horses and livestock.",,,,,,,,,,,,,,,
alimentos para consumo humano,human food,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
alimentos preempaquetados,prepackaged foods,FDA,FDA,,,Health,Food Industry,,,,alimentos pre-empacados,,,,,,,,,,,,,
alimentos ricos en proteínas,Protein foods,USDA-FNS,USDA-FNS,,,Health,,,,,USDA CACFP - https://fns-prod.azureedge.net/sites/default/files/resource-files/NibblesProtein_Sp.pdf,,,,,,,,,,,,,
alisador,hair straightener/hair relaxer,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
almacenado,stored,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
almacenamiento y presentación,storage and how supplied,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
alógeno,allogeneic,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alopurinol,allopurinol,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
alteración,"condition,event,impairment","NIH,NIA","NIH, NIA",,,"Health,Health,Health",,,,,,,,,,,,,,,,,,
alteración de la glucemia en ayunas (IFG),impaired fasting glucose ,NIH,NIH,,IFG,Health,,,,,,,,,,,,,,,,,,
Alucinaciones,,NIA,NIA,,,,,,,,,,,,,,,,,,,,,
alumbre,alum,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Alzheimer de inicio temprano,,NIA,NIA,,,,,,,,,,,,,,,,,,,,,
amantar /lactar/lactancia/lactante,Breastfeeding ,USDA-FNS,USDA-FNS,,,Health,,,,,Based on formative research for Feeding Infants & Breastfed Babies Welcome Here!,,,,,,,,,,,,,
ámbito,setting,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ambliopía,amblyopia,CDC,CDC,,,Health,,,,,,,,lazy eye,,,,,,,,,ojo perezoso,
amigdalectomía,tonsillectomy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
amikacina,amikacin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aminoglucósido,aminoglycoside,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
amitraz,amitraz,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
amniocentesis,amniocentesis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
amniorrexis,amniorhexis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
amortiguador,buffer,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
amoxicilina con ácido clavulánico,amoxicillin-clavulanic acid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
amoxicilina y ácido clavulánico,co-amoxiclav,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ampicilina,ampicillin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
amplio,"comprehensive,extensive","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,Primary,,,,,,,,,
amplitud,"extent,range",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
amplitud de la distribución eritrocitaria (ADE),red cell distribution width,NIH,NIH,,RDW,Health,,,,,,,,,,,,,,,,,,
anaerobio,anaerobic,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
análisis bioquímicos de la sangre,blood chemistries,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
análisis de orina,urinalysis,NIH,"NIH, FDA",UA,UA,Health,,,,,,,,,,,,,,,,,,
análisis de peligros en el trabajo,job hazard analysis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Análisis de Peligros y Puntos Críticos de Control,Hazard Analysis and Critical Control Points,FDA,FDA,,HACCP,Health,Food Industry,,,,,,,,,,,,,,,,,
análisis de peligros*,hazard analysis,FDA,FDA,,,Health,Food Industry,,,,*Codex Term,,,,,,,,,,,,,
análisis de producto,product testing,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
análisis de puntos de inflexión,joinpoint analysis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
análisis de sensibilidad a los antibióticos,antibiotic susceptibility testing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
análisis de TaqMan,TaqMan assay,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
análisis farmacológico de sangre,therapeutic drug monitoring,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
